Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Artist Name(s),Album Release Date,Track Duration (ms),Track Preview URL,Explicit,Popularity,Artist Genres
spotify:track:2nCXuFS4Dt4BpHkxA9rhPL,Eagle Rock - 2011 Remaster,spotify:artist:5ht2HGrvbN9eDWJarHsou6,Daddy Cool,spotify:album:4ZejRTERcKwWr0bc8CslGV,Daddy Cool,7/1/1971,250066,https://p.scdn.co/mp3-preview/820bf3ea2ef0b2068dc3bf27950ba30e641d82e4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,australian rock
spotify:track:2JWKzkQbYsNzx019WyGzaH,I Don't Want to Talk About It - 2008 Remaster,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,spotify:album:7vV3q5jE7DSuKsnHr7OmmN,Rod Stewart,1975,288266,https://p.scdn.co/mp3-preview/b138ee402b328f5b144c3bbfa97e6a2659cd836d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,"mellow gold,soft rock"
spotify:track:1puwYWRSG7g0d8ChPmOV6t,Ain't That Loving You Baby,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,spotify:album:3ufobt4J5vaT3z7lgUub6a,Elvis Presley,1/22/1968,143013,https://p.scdn.co/mp3-preview/953bf0f258bf8a8882f343a0b2cf5c0a89507bd9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,31,"rock-and-roll,rockabilly"
spotify:track:39lnzOIUCSNaQmgBHoz7rt,Everyday,"spotify:artist:3wYyutjgII8LJVVOLrGI0D, spotify:artist:4r7JUeiYy24L7BuzCq9EjR","Buddy Holly, The Crickets",spotify:album:4Qy0SOU9Jg7Td10K68SanP,Buddy Holly,1958,129120,https://p.scdn.co/mp3-preview/0ce85d6df42f24e51f7df62cdc20c463ebd0532d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,"classic rock,folk rock,mellow gold,rock-and-roll,rockabilly,singer-songwriter,doo-wop,rock-and-roll,rockabilly"
spotify:track:6rmeuhnICjrgsrcKM6af5L,Shout To The Top - Full Version,spotify:artist:3loflELg7MzgrOyNqERolN,The Style Council,spotify:album:589d7vHMtOyqhXGsf5h9Rc,The Style Council,1985,254186,https://p.scdn.co/mp3-preview/d3ad07d557c20626e2fa016371324429225192fb?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"new romantic,new wave,new wave pop,sophisti-pop"
spotify:track:6SlJooJullmwjBsrnRNROA,Moments (feat. Gavin James),"spotify:artist:1xSSjJrKTO2ZNPU81uLtmI, spotify:artist:25tMQOrIU4LlUo6Sv8v5SE","Bliss n Eso, Gavin James",spotify:album:6jEbT4dTzAMHByiX7wLsts,Bliss n Eso,4/28/2017,237613,https://p.scdn.co/mp3-preview/59a9fdedeb4f77901703768943b74fc5afc722e6?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,0,"australian hip hop,irish pop"
spotify:track:0Dm43YLUlGdePpSbI1ct8h,Part-Time Lover,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,spotify:album:1nLKZqTGA48v3I8dNFkvQt,Stevie Wonder,9/13/1985,252560,https://p.scdn.co/mp3-preview/77257eb3b4801647b278a2b5c32714b6adf93626?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,"motown,soul"
spotify:track:6Jmyt5MDXcSSbXAChDH5Xe,Strawberry Kisses,spotify:artist:6lFnLt6t0Wyq87KQK19BkA,Nikki Webster,spotify:album:6HGWlQCln8iS5PYliYPcLr,Nikki Webster,6/11/2001,213773,https://p.scdn.co/mp3-preview/dd4312beb036bf988d02b339f35058ed0173edd7?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,17,australian pop
spotify:track:7KrvzSAXmM45m7AnoqdDsx,Close To You,spotify:artist:6fBF4MULW5yMzyGaon1kUt,John Butler Trio,spotify:album:523dGJIK9WHqavNNZBv57s,John Butler Trio,3/26/2010,231413,https://p.scdn.co/mp3-preview/e3d7ff76956aa7d003e20d59d607b4afcc182743?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,38,banjo
spotify:track:4fs51wRnDJo4XrRdk6h0GD,Mmm Yeah (feat. Pitbull),"spotify:artist:04abdnqPQe2N4fjztDea6z, spotify:artist:0TnOYISbd1XYRBk9myaseg","Austin Mahone, Pitbull",spotify:album:4nSUFTm077fVEPP046MZMk,Austin Mahone,5/27/2014,231624,https://p.scdn.co/mp3-preview/8df55d3edaf4d0046ce17cd9fd19726507e4d8d9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"pop,post-teen pop,dance pop,miami hip hop,pop"
